,size,prob,trial,result
398,2000,0.04,98,6.0
399,2000,0.04,99,7.0
400,2000,0.05,0,9.0
401,2000,0.05,1,6.0
402,2000,0.05,2,7.0
403,2000,0.05,3,6.0
404,2000,0.05,4,8.0
405,2000,0.05,5,7.0
406,2000,0.05,6,7.0
407,2000,0.05,7,7.0
408,2000,0.05,8,6.0
409,2000,0.05,9,6.0
410,2000,0.05,10,6.0
411,2000,0.05,11,8.0
412,2000,0.05,12,7.0
413,2000,0.05,13,6.0
414,2000,0.05,14,8.0
415,2000,0.05,15,7.0
416,2000,0.05,16,7.0
417,2000,0.05,17,8.0
418,2000,0.05,18,8.0
419,2000,0.05,19,6.0
420,2000,0.05,20,8.0
421,2000,0.05,21,7.0
422,2000,0.05,22,7.0
423,2000,0.05,23,8.0
424,2000,0.05,24,7.0
425,2000,0.05,25,7.0
426,2000,0.05,26,7.0
427,2000,0.05,27,7.0
428,2000,0.05,28,6.0
429,2000,0.05,29,7.0
430,2000,0.05,30,7.0
431,2000,0.05,31,6.0
432,2000,0.05,32,6.0
433,2000,0.05,33,7.0
434,2000,0.05,34,7.0
435,2000,0.05,35,7.0
436,2000,0.05,36,7.0
437,2000,0.05,37,7.0
438,2000,0.05,38,6.0
439,2000,0.05,39,6.0
440,2000,0.05,40,6.0
441,2000,0.05,41,7.0
442,2000,0.05,42,7.0
443,2000,0.05,43,6.0
444,2000,0.05,44,6.0
445,2000,0.05,45,7.0
446,2000,0.05,46,6.0
447,2000,0.05,47,7.0
448,2000,0.05,48,8.0
449,2000,0.05,49,8.0
450,2000,0.05,50,6.0
451,2000,0.05,51,7.0
452,2000,0.05,52,7.0
453,2000,0.05,53,7.0
454,2000,0.05,54,6.0
455,2000,0.05,55,6.0
456,2000,0.05,56,7.0
457,2000,0.05,57,10.0
458,2000,0.05,58,7.0
459,2000,0.05,59,7.0
460,2000,0.05,60,6.0
461,2000,0.05,61,7.0
462,2000,0.05,62,8.0
463,2000,0.05,63,7.0
464,2000,0.05,64,7.0
465,2000,0.05,65,7.0
466,2000,0.05,66,8.0
467,2000,0.05,67,7.0
468,2000,0.05,68,7.0
469,2000,0.05,69,7.0
470,2000,0.05,70,8.0
471,2000,0.05,71,7.0
472,2000,0.05,72,8.0
473,2000,0.05,73,6.0
474,2000,0.05,74,7.0
475,2000,0.05,75,6.0
476,2000,0.05,76,7.0
477,2000,0.05,77,6.0
478,2000,0.05,78,8.0
479,2000,0.05,79,6.0
480,2000,0.05,80,6.0
481,2000,0.05,81,6.0
482,2000,0.05,82,7.0
483,2000,0.05,83,6.0
484,2000,0.05,84,9.0
485,2000,0.05,85,7.0
486,2000,0.05,86,8.0
487,2000,0.05,87,6.0
488,2000,0.05,88,6.0
489,2000,0.05,89,8.0
490,2000,0.05,90,7.0
491,2000,0.05,91,7.0
492,2000,0.05,92,7.0
493,2000,0.05,93,6.0
494,2000,0.05,94,7.0
495,2000,0.05,95,7.0
496,2000,0.05,96,7.0
497,2000,0.05,97,7.0
498,2000,0.05,98,7.0
499,2000,0.05,99,7.0
500,2000,0.06,0,8.0
501,2000,0.06,1,7.0
502,2000,0.06,2,8.0
503,2000,0.06,3,7.0
504,2000,0.06,4,8.0
505,2000,0.06,5,7.0
506,2000,0.06,6,8.0
507,2000,0.06,7,8.0
508,2000,0.06,8,8.0
509,2000,0.06,9,6.0
510,2000,0.06,10,8.0
511,2000,0.06,11,11.0
512,2000,0.06,12,8.0
513,2000,0.06,13,10.0
514,2000,0.06,14,8.0
515,2000,0.06,15,8.0
516,2000,0.06,16,8.0
517,2000,0.06,17,9.0
518,2000,0.06,18,7.0
519,2000,0.06,19,7.0
520,2000,0.06,20,7.0
521,2000,0.06,21,7.0
522,2000,0.06,22,8.0
523,2000,0.06,23,7.0
